patternSignature,patternReadable,currentEligible,manual31ColumnCount,manual65PatternCount,lpColumnCount,positiveLpActivity,coveredResidualOrders,coveredResidualQuantity,coverageScarcity,missingResidualWidths,wastePerCar,targetResidualWastePerCar,wasteFit,demandDualUpperBound,lpPoolDensityRank,orderCoverageFrontierRank,lpDualWeightedRank
"4380|1080x3,1140x1","{1080=3, 1140=1} @4380mm (pw=4380, util=100.0%)","false","2","2","0","0.000000000","2","6","0.001676446","1","220","228.466257669","0.105638367","5.320054370",,"48128","5"
"4400|550x1,940x1,970x3","{550=1, 940=1, 970=3} @4400mm (pw=4400, util=100.0%)","false","2","2","18","1.946669891","4","25","0.003029498","1","200","228.466257669","0.033937123","1.832745126","6","39080","37126"
"4390|970x3,1480x1","{970=3, 1480=1} @4390mm (pw=4390, util=100.0%)","true","2","2","16","0.000000000","4","13","0.002824328","0","210","228.466257669","0.051370942","3.004382763","16","41140","7672"
"4330|550x1,840x1,980x3","{550=1, 840=1, 980=3} @4330mm (pw=4330, util=100.0%)","true","2","2","2","0.000000000","12","99","0.016852862","0","270","228.466257669","0.023510746","2.645860820","114","13565","14403"
"4390|1000x1,1100x2,1190x1","{1000=1, 1100=2, 1190=1} @4390mm (pw=4390, util=100.0%)","true","1","1","16","0.596879280","21","245","0.061728487","0","210","228.466257669","0.051370942","1.641581349","10","1143","42223"
"4400|1000x1,1100x2,1200x1","{1000=1, 1100=2, 1200=1} @4400mm (pw=4400, util=100.0%)","true","1","1","9","0.000000000","21","243","0.061123723","0","200","228.466257669","0.033937123","1.566368487","38","1212","44064"
"4400|960x1,1100x2,1240x1","{960=1, 1100=2, 1240=1} @4400mm (pw=4400, util=100.0%)","false","1","1","7","1.000000000","17","258","0.070193681","1","200","228.466257669","0.033937123","1.752889174","43","595","39361"
"4400|850x1,1070x1,1240x2","{850=1, 1070=1, 1240=2} @4400mm (pw=4400, util=100.0%)","false","1","1","5","1.000000000","9","135","0.027670120","1","200","228.466257669","0.033937123","2.084788722","54","5421","29695"
"4400|850x3,870x1,980x1","{850=3, 870=1, 980=1} @4400mm (pw=4400, util=100.0%)","false","1","1","2","0.000000000","11","166","0.026983963","1","200","228.466257669","0.033937123","1.854060521","126","5504","36481"
"4350|550x1,890x1,970x3","{550=1, 890=1, 970=3} @4350mm (pw=4350, util=100.0%)","false","1","2","1","1.000000000","4","25","0.003029498","1","250","228.466257669","0.044377893","2.367990081","128","39079","21445"
"4380|840x4,1020x1","{840=4, 1020=1} @4380mm (pw=4380, util=100.0%)","false","1","1","1","0.950000000","4","9","0.001187178","1","220","228.466257669","0.105638367","3.614867623","134","51309","1914"
"4380|790x1,1100x1,1240x1,1250x1","{790=1, 1100=1, 1240=1, 1250=1} @4380mm (pw=4380, util=100.0%)","true","1","1","0","0.000000000","19","278","0.073865321","0","220","228.466257669","0.105638367","1.863149527",,"215","36199"
"4310|850x1,1100x2,1260x1","{850=1, 1100=2, 1260=1} @4310mm (pw=4310, util=100.0%)","true","1","1","0","0.000000000","19","317","0.072298770","0","290","228.466257669","0.015991367","1.891769187",,"364","35417"
"4360|1010x2,1100x1,1240x1","{1010=2, 1100=1, 1240=1} @4360mm (pw=4360, util=100.0%)","false","1","1","0","0.000000000","17","258","0.070193681","1","240","228.466257669","0.079784630","1.470583738",,"590","46148"
"4320|970x1,1000x1,1100x1,1250x1","{970=1, 1000=1, 1100=1, 1250=1} @4320mm (pw=4320, util=100.0%)","true","1","1","0","0.000000000","24","259","0.064829096","0","280","228.466257669","0.019035385","2.143447029",,"962","28003"
"4400|1050x1,1100x2,1150x1","{1050=1, 1100=2, 1150=1} @4400mm (pw=4400, util=100.0%)","true","1","1","0","0.000000000","15","226","0.058391189","0","200","228.466257669","0.033937123","2.125341238",,"1723","28552"
"4380|970x2,1220x2","{970=2, 1220=2} @4380mm (pw=4380, util=100.0%)","true","1","1","0","0.000000000","4","16","0.003565370","0","220","228.466257669","0.105638367","3.607562782",,"36400","1973"
"4310|550x2,1010x1,1100x2","{550=2, 1010=1, 1100=2} @4310mm (pw=4310, util=100.0%)","false","1","1","0","0.000000000","13","225","0.055380211","1","290","228.466257669","0.015991367","1.139570114",,"3372","51357"
"4400|850x1,1060x1,1240x1,1250x1","{850=1, 1060=1, 1240=1, 1250=1} @4400mm (pw=4400, util=100.0%)","true","1","1","0","0.000000000","11","157","0.033506649","0","200","228.466257669","0.033937123","2.164739079",,"4352","27361"
"4370|850x1,1125x1,1150x1,1240x1","{850=1, 1125=1, 1150=1, 1240=1} @4370mm (pw=4365, util=99.9%)","true","1","1","0","0.000000000","12","151","0.032288001","0","235","228.466257669","0.132736156","1.608151630",,"4536","43032"
"4390|850x1,1150x2,1240x1","{850=1, 1150=2, 1240=1} @4390mm (pw=4390, util=100.0%)","true","1","1","0","0.000000000","11","145","0.030530532","0","210","228.466257669","0.051370942","1.828842031",,"4837","37227"
"4390|600x1,850x1,980x3","{600=1, 850=1, 980=3} @4390mm (pw=4390, util=100.0%)","false","1","1","0","0.000000000","11","166","0.026983963","1","210","228.466257669","0.051370942","2.153131619",,"5502","27713"
"4320|1060x3,1140x1","{1060=3, 1140=1} @4320mm (pw=4320, util=100.0%)","true","1","1","0","0.000000000","3","22","0.005441152","0","280","228.466257669","0.019035385","2.830338954",,"28886","10522"
"4360|1090x4","{1090=4} @4360mm (pw=4360, util=100.0%)","true","1","1","0","0.000000000","3","71","0.017870627","0","240","228.466257669","0.079784630","1.621066097",,"11701","42700"
"4390|980x2,1130x1,1300x1","{980=2, 1130=1, 1300=1} @4390mm (pw=4390, util=100.0%)","true","1","1","0","0.000000000","10","86","0.017797189","0","210","228.466257669","0.051370942","1.924120721",,"12037","34454"
"4390|780x4,1270x1","{780=4, 1270=1} @4390mm (pw=4390, util=100.0%)","false","1","1","0","0.000000000","1","7","0.002509860","1","210","228.466257669","0.051370942","2.245780826",,"42784","24913"
