patternSignature,patternReadable,eligible,ineligibleReason,rank,selectedTop60,lpActivity,residualScarcity,coveredResidualOrders,wastePerCar,targetResidualWastePerCar,wasteFit,totalScore,widths,stationCount,distinctWidthCount,manual31ColumnCount,manual65PatternCount,manualCarsDistribution,manualOddCount,manualOneCarCount,manualOrderCoverageSummary
"4330|550x1,840x1,980x3","{550=1, 840=1, 980=3} @4330mm (pw=4330, util=100.0%)","true","","1727","false","0.000000000","0.121484593","12","270","228.466257669","0.023510746","241.508104071","550|840|980","5","3","2","2","2x1|9x1","1","0","min=3;avg=3.50;max=4"
"4390|970x3,1480x1","{970=3, 1480=1} @4390mm (pw=4390, util=100.0%)","true","","4592","false","0.000000000","0.019688704","4","210","228.466257669","0.051370942","59.740075211","970|1480","4","2","2","2","4x1|6x1","0","0","min=2;avg=2.00;max=2"
"4380|1080x3,1140x1","{1080=3, 1140=1} @4380mm (pw=4380, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1080",,"false","","",,,"","","","1080|1140","4","2","2","2","2x1|6x1","0","0","min=2;avg=2.50;max=3"
"4400|550x1,940x1,970x3","{550=1, 940=1, 970=3} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:940",,"false","","",,,"","","","550|940|970","5","3","2","2","8x1|20x1","0","0","min=3;avg=3.00;max=3"
"4390|1000x1,1100x2,1190x1","{1000=1, 1100=2, 1190=1} @4390mm (pw=4390, util=100.0%)","true","","20","true","0.596879280","0.389825209","21","210","228.466257669","0.051370942","597479.156708454","1000|1100|1190","4","3","1","1","10x1","0","0","min=3;avg=3.00;max=3"
"4310|850x1,1100x2,1260x1","{850=1, 1100=2, 1260=1} @4310mm (pw=4310, util=100.0%)","true","","197","false","0.000000000","0.476201516","19","290","228.466257669","0.015991367","666.217507162","850|1100|1260","4","3","1","1","12x1","0","0","min=3;avg=3.00;max=3"
"4380|790x1,1100x1,1240x1,1250x1","{790=1, 1100=1, 1240=1, 1250=1} @4380mm (pw=4380, util=100.0%)","true","","222","false","0.000000000","0.467360025","19","220","228.466257669","0.105638367","657.465663050","790|1100|1240|1250","4","4","1","1","20x1","0","0","min=4;avg=4.00;max=4"
"4320|970x1,1000x1,1100x1,1250x1","{970=1, 1000=1, 1100=1, 1250=1} @4320mm (pw=4320, util=100.0%)","true","","250","false","0.000000000","0.411070435","24","280","228.466257669","0.019035385","651.089469953","970|1000|1100|1250","4","4","1","1","2x1","0","0","min=4;avg=4.00;max=4"
"4400|1000x1,1100x2,1200x1","{1000=1, 1100=2, 1200=1} @4400mm (pw=4400, util=100.0%)","true","","350","false","0.000000000","0.385918989","21","200","228.466257669","0.033937123","595.952926218","1000|1100|1200","4","3","1","1","20x1","0","0","min=3;avg=3.00;max=3"
"4400|1050x1,1100x2,1150x1","{1050=1, 1100=2, 1150=1} @4400mm (pw=4400, util=100.0%)","true","","608","false","0.000000000","0.365864032","15","200","228.466257669","0.033937123","515.897969511","1050|1100|1150","4","3","1","1","4x1","0","0","min=3;avg=3.00;max=3"
"4370|850x1,1125x1,1150x1,1240x1","{850=1, 1125=1, 1150=1, 1240=1} @4370mm (pw=4365, util=99.9%)","true","","963","false","0.000000000","0.224607047","12","235","228.466257669","0.132736156","344.739782993","850|1125|1150|1240","4","4","1","1","6x1","0","0","min=4;avg=4.00;max=4"
"4400|850x1,1060x1,1240x1,1250x1","{850=1, 1060=1, 1240=1, 1250=1} @4400mm (pw=4400, util=100.0%)","true","","966","false","0.000000000","0.233784900","11","200","228.466257669","0.033937123","343.818837176","850|1060|1240|1250","4","4","1","1","4x1","0","0","min=4;avg=4.00;max=4"
"4390|850x1,1150x2,1240x1","{850=1, 1150=2, 1240=1} @4390mm (pw=4390, util=100.0%)","true","","1115","false","0.000000000","0.213597873","11","210","228.466257669","0.051370942","323.649243467","850|1150|1240","4","3","1","1","4x1","0","0","min=4;avg=4.00;max=4"
"4390|980x2,1130x1,1300x1","{980=2, 1130=1, 1300=1} @4390mm (pw=4390, util=100.0%)","true","","2149","false","0.000000000","0.121378786","10","210","228.466257669","0.051370942","221.430156696","980|1130|1300","4","3","1","1","4x1","0","0","min=3;avg=3.00;max=3"
"4360|1090x4","{1090=4} @4360mm (pw=4360, util=100.0%)","true","","3171","false","0.000000000","0.114331723","3","240","228.466257669","0.079784630","144.411507658","1090","4","1","1","1","15x1","1","0","min=1;avg=1.00;max=1"
"4320|1060x3,1140x1","{1060=3, 1140=1} @4320mm (pw=4320, util=100.0%)","true","","4543","false","0.000000000","0.034629152","3","280","228.466257669","0.019035385","64.648187137","1060|1140","4","2","1","1","6x1","0","0","min=3;avg=3.00;max=3"
"4380|970x2,1220x2","{970=2, 1220=2} @4380mm (pw=4380, util=100.0%)","true","","4548","false","0.000000000","0.024028710","4","220","228.466257669","0.105638367","64.134347994","970|1220","4","2","1","1","2x1","0","0","min=2;avg=2.00;max=2"
"4390|550x1,1280x3","{550=1, 1280=3} @4390mm (pw=4390, util=100.0%)","true","","4671","false","0.000000000","0.022458434","2","210","228.466257669","0.051370942","42.509804986","550|1280","4","2","1","1","2x1","0","0","min=2;avg=2.00;max=2"
"4310|550x2,1010x1,1100x2","{550=2, 1010=1, 1100=2} @4310mm (pw=4310, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1010",,"false","","",,,"","","","550|1010|1100","5","3","1","1","6x1","0","0","min=4;avg=4.00;max=4"
"4350|550x1,890x1,970x3","{550=1, 890=1, 970=3} @4350mm (pw=4350, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:890",,"false","","",,,"","","","550|890|970","5","3","1","2","2x1|6x1","0","0","min=3;avg=3.00;max=3"
"4360|1010x2,1100x1,1240x1","{1010=2, 1100=1, 1240=1} @4360mm (pw=4360, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1010",,"false","","",,,"","","","1010|1100|1240","4","3","1","1","2x1","0","0","min=3;avg=3.00;max=3"
"4380|840x4,1020x1","{840=4, 1020=1} @4380mm (pw=4380, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1020",,"false","","",,,"","","","840|1020","5","2","1","1","10x1","0","0","min=4;avg=4.00;max=4"
"4390|600x1,850x1,980x3","{600=1, 850=1, 980=3} @4390mm (pw=4390, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:600",,"false","","",,,"","","","600|850|980","5","3","1","1","2x1","0","0","min=3;avg=3.00;max=3"
"4390|780x4,1270x1","{780=4, 1270=1} @4390mm (pw=4390, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:780",,"false","","",,,"","","","780|1270","5","2","1","1","1x1","1","1","min=2;avg=2.00;max=2"
"4400|850x1,1070x1,1240x2","{850=1, 1070=1, 1240=2} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1070",,"false","","",,,"","","","850|1070|1240","4","3","1","1","10x1","0","0","min=3;avg=3.00;max=3"
"4400|850x3,870x1,980x1","{850=3, 870=1, 980=1} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:870",,"false","","",,,"","","","850|870|980","5","3","1","1","2x1","0","0","min=3;avg=3.00;max=3"
"4400|960x1,1100x2,1240x1","{960=1, 1100=2, 1240=1} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:960",,"false","","",,,"","","","960|1100|1240","4","3","1","1","10x1","0","0","min=3;avg=3.00;max=3"
"4400|850x1,860x3,970x1","{850=1, 860=3, 970=1} @4400mm (pw=4400, util=100.0%)","true","","1","true","4.405415912","0.119178559","8","200","228.466257669","0.033937123","4405615.124386879","850|860|970","5","3","0","0","","0","0",""
"4400|760x1,850x2,970x2","{760=1, 850=2, 970=2} @4400mm (pw=4400, util=100.0%)","true","","2","true","4.308931385","0.126310904","9","200","228.466257669","0.033937123","4309147.730240737","760|850|970","5","3","0","4","2x2|3x1|10x1","1","0","min=3;avg=3.00;max=3"
"4400|550x1,850x1,1000x3","{550=1, 850=1, 1000=3} @4400mm (pw=4400, util=100.0%)","true","","3","true","2.821096032","0.146858216","13","200","228.466257669","0.033937123","2821372.924121176","550|850|1000","5","3","0","1","8x1","0","0","min=4;avg=4.00;max=4"
"4360|1000x2,1100x1,1260x1","{1000=2, 1100=1, 1260=1} @4360mm (pw=4360, util=100.0%)","true","","4","true","2.200000000","0.416931918","23","240","228.466257669","0.079784630","2200647.011702915","1000|1100|1260","4","3","0","3","4x1|6x1|10x1","0","0","min=3;avg=3.67;max=4"
"4400|970x2,980x1,1480x1","{970=2, 980=1, 1480=1} @4400mm (pw=4400, util=100.0%)","true","","5","true","2.083636778","0.122767687","11","200","228.466257669","0.033937123","2083869.579187364","970|980|1480","4","3","0","0","","0","0",""
"4330|850x1,1000x1,1240x2","{850=1, 1000=1, 1240=2} @4330mm (pw=4330, util=100.0%)","true","","6","true","1.319727891","0.235746298","17","270","228.466257669","0.023510746","1320133.660965407","850|1000|1240","4","3","0","3","10x1|20x1|30x1","0","0","min=3;avg=3.00;max=3"
"4320|980x2,1100x1,1260x1","{980=2, 1100=1, 1260=1} @4320mm (pw=4320, util=100.0%)","true","","7","true","1.293477966","0.480501364","22","280","228.466257669","0.019035385","1294178.486259663","980|1100|1260","4","3","0","0","","0","0",""
"4390|850x1,1060x1,1240x2","{850=1, 1060=1, 1240=2} @4390mm (pw=4390, util=100.0%)","true","","8","true","1.285714286","0.220627005","10","210","228.466257669","0.051370942","1286034.964090544","850|1060|1240","4","3","0","0","","0","0",""
"4390|790x1,1100x1,1250x2","{790=1, 1100=1, 1250=2} @4390mm (pw=4390, util=100.0%)","true","","9","true","1.229864067","0.369902398","14","210","228.466257669","0.051370942","1230374.020571478","790|1100|1250","4","3","0","0","","0","0",""
"4360|980x2,1100x1,1300x1","{980=2, 1100=1, 1300=1} @4360mm (pw=4360, util=100.0%)","true","","10","true","1.000000000","0.455275604","20","240","228.466257669","0.079784630","1000655.355388775","980|1100|1300","4","3","0","0","","0","0",""
"4370|1000x2,1100x1,1270x1","{1000=2, 1100=1, 1270=1} @4370mm (pw=4370, util=100.0%)","true","","11","true","1.000000000","0.397449959","21","230","228.466257669","0.394673123","1000607.844632223","1000|1100|1270","4","3","0","3","10x1|12x1|18x1","0","0","min=3;avg=3.33;max=4"
"4390|1050x1,1100x2,1140x1","{1050=1, 1100=2, 1140=1} @4390mm (pw=4390, util=100.0%)","true","","12","true","1.000000000","0.358741829","15","210","228.466257669","0.051370942","1000508.793200070","1050|1100|1140","4","3","0","0","","0","0",""
"4380|980x1,1100x2,1200x1","{980=1, 1100=2, 1200=1} @4380mm (pw=4380, util=100.0%)","true","","13","true","0.863850334","0.449488435","20","220","228.466257669","0.105638367","864499.928413055","980|1100|1200","4","3","0","0","","0","0",""
"4390|1090x1,1100x3","{1090=1, 1100=3} @4390mm (pw=4390, util=100.0%)","true","","14","true","0.832842148","0.456819607","15","210","228.466257669","0.051370942","833449.018562484","1090|1100","4","2","0","0","","0","0",""
"4400|1090x3,1130x1","{1090=3, 1130=1} @4400mm (pw=4400, util=100.0%)","true","","15","true","0.778651272","0.122922788","5","200","228.466257669","0.033937123","778824.228429817","1090|1130","4","2","0","1","16x1","0","0","min=3;avg=3.00;max=3"
"4330|980x2,1100x1,1270x1","{980=2, 1100=1, 1270=1} @4330mm (pw=4330, util=100.0%)","true","","16","true","0.760958599","0.461019405","20","270","228.466257669","0.023510746","761619.641704748","980|1100|1270","4","3","0","0","","0","0",""
"4400|1050x1,1100x1,1125x2","{1050=1, 1100=1, 1125=2} @4400mm (pw=4400, util=100.0%)","true","","17","true","0.761085993","0.359512096","14","200","228.466257669","0.033937123","761585.538875252","1050|1100|1125","4","3","0","0","","0","0",""
"4370|790x1,1100x1,1240x2","{790=1, 1100=1, 1240=2} @4370mm (pw=4370, util=100.0%)","true","","18","true","0.665520390","0.454202130","18","230","228.466257669","0.394673123","666154.986782624","790|1100|1240","4","3","0","0","","0","0",""
"4330|850x1,1130x2,1220x1","{850=1, 1130=2, 1220=1} @4330mm (pw=4330, util=100.0%)","true","","19","true","0.630542996","0.115483790","7","270","228.466257669","0.023510746","630728.503721866","850|1130|1220","4","3","0","0","","0","0",""
"4380|850x1,970x1,1280x2","{850=1, 970=1, 1280=2} @4380mm (pw=4380, util=100.0%)","true","","21","true","0.533648253","0.128583143","8","220","228.466257669","0.105638367","533856.941384004","850|970|1280","4","3","0","0","","0","0",""
"4370|1090x3,1100x1","{1090=3, 1100=1} @4370mm (pw=4370, util=100.0%)","true","","22","true","0.503708123","0.456819607","15","230","228.466257669","0.394673123","504315.337354998","1090|1100","4","2","0","0","","0","0",""
"4300|840x1,1100x2,1260x1","{840=1, 1100=2, 1260=1} @4300mm (pw=4300, util=100.0%)","true","","23","true","0.500000000","0.387258447","19","300","228.466257669","0.013786687","500577.272233761","840|1100|1260","4","3","0","0","","0","0",""
"4400|1060x1,1100x2,1140x1","{1060=1, 1100=2, 1140=1} @4400mm (pw=4400, util=100.0%)","true","","24","true","0.500000000","0.377117035","15","200","228.466257669","0.033937123","500527.150972559","1060|1100|1140","4","3","0","0","","0","0",""
"4380|1000x2,1100x1,1280x1","{1000=2, 1100=1, 1280=1} @4380mm (pw=4380, util=100.0%)","true","","25","true","0.442533983","0.395886309","21","220","228.466257669","0.105638367","443139.975246981","1000|1100|1280","4","3","0","0","","0","0",""
"4390|550x1,840x1,1000x3","{550=1, 840=1, 1000=3} @4390mm (pw=4390, util=100.0%)","true","","26","true","0.346311174","0.057915148","13","210","228.466257669","0.051370942","346499.140138935","550|840|1000","5","3","0","0","","0","0",""
"4350|980x2,1090x1,1300x1","{980=2, 1090=1, 1300=1} @4350mm (pw=4350, util=100.0%)","true","","27","true","0.333333333","0.227119443","11","250","228.466257669","0.044377893","333670.497154715","980|1090|1300","4","3","0","1","8x1","0","0","min=4;avg=4.00;max=4"
"4400|980x1,1140x3","{980=1, 1140=3} @4400mm (pw=4400, util=100.0%)","true","","28","true","0.318552010","0.113317890","9","200","228.466257669","0.033937123","318755.361370850","980|1140","4","2","0","0","","0","0",""
"4370|980x1,1100x2,1190x1","{980=1, 1100=2, 1190=1} @4370mm (pw=4370, util=100.0%)","true","","29","true","0.317084092","0.453394655","20","230","228.466257669","0.394673123","317737.881803904","980|1100|1190","4","3","0","0","","0","0",""
"4400|850x2,860x2,980x1","{850=2, 860=2, 980=1} @4400mm (pw=4400, util=100.0%)","true","","30","true","0.311499667","0.206342422","12","200","228.466257669","0.033937123","311826.043357852","850|860|980","5","3","0","4","3x1|10x2|24x1","1","0","min=3;avg=3.75;max=4"
"4350|1000x2,1100x1,1250x1","{1000=2, 1100=1, 1250=1} @4350mm (pw=4350, util=100.0%)","true","","31","true","0.265520390","0.395155315","21","250","228.466257669","0.044377893","266125.589672652","1000|1100|1250","4","3","0","0","","0","0",""
"4310|850x2,1130x1,1480x1","{850=2, 1130=1, 1480=1} @4310mm (pw=4310, util=100.0%)","true","","32","true","0.250000000","0.111143784","7","290","228.466257669","0.015991367","250181.159775860","850|1130|1480","4","3","0","0","","0","0",""
"4370|1060x2,1125x2","{1060=2, 1125=2} @4370mm (pw=4370, util=100.0%)","true","","33","true","0.240142511","0.035399418","2","230","228.466257669","0.394673123","240198.305492698","1060|1125","4","2","0","0","","0","0",""
"4400|850x4,1000x1","{850=4, 1000=1} @4400mm (pw=4400, util=100.0%)","true","","34","true","0.239130435","0.138288671","12","200","228.466257669","0.033937123","239388.757390811","850|1000","5","2","0","0","","0","0",""
"4360|980x2,1200x2","{980=2, 1200=2} @4360mm (pw=4360, util=100.0%)","true","","35","true","0.200752708","0.107000551","8","240","228.466257669","0.079784630","200939.788342011","980|1200","4","2","0","0","","0","0",""
"4390|550x3,760x1,980x1,1000x1","{550=3, 760=1, 980=1, 1000=1} @4390mm (pw=4390, util=100.0%)","true","","36","true","0.147631110","0.162774715","18","210","228.466257669","0.051370942","147973.936084370","550|760|980|1000","6","4","0","0","","0","0",""
"4360|840x2,850x2,980x1","{840=2, 850=2, 980=1} @4360mm (pw=4360, util=100.0%)","true","","37","true","0.133879656","0.211694182","15","240","228.466257669","0.079784630","134241.429642296","840|850|980","5","3","0","0","","0","0",""
"4390|850x3,860x1,980x1","{850=3, 860=1, 980=1} @4390mm (pw=4390, util=100.0%)","true","","38","true","0.124838613","0.206342422","12","210","228.466257669","0.051370942","125165.006871578","850|860|980","5","3","0","0","","0","0",""
"4380|1050x1,1100x2,1130x1","{1050=1, 1100=2, 1130=1} @4380mm (pw=4380, util=100.0%)","true","","39","true","0.119457004","0.357093987","15","220","228.466257669","0.105638367","119964.203203666","1050|1100|1130","4","3","0","0","","0","0",""
