"inclusionReason","patternSignature","patternReadable","eligible","ineligibleReason","manual31ColumnCount","manual65PatternCount","lpActivity","residualScarcity","coveredResidualOrders","wasteFit","structuralScore","baselineScore","baselineRank","baselineTop60","baselineTop120","lambda0Score","lambda0Rank","lambda0Top60","lambda0Top120","lambda10Score","lambda10Rank","lambda10Top60","lambda10Top120","baselineToLambda0RankDelta","baselineToLambda10RankDelta"
"TARGET_ORACLE|BASELINE_TOP120","4390|1000x1,1100x2,1190x1","{1000=1, 1100=2, 1190=1} @4390mm (pw=4390, util=100.0%)","true","","1","1","0.596879280","0.389825209","21","0.051370942","599.876579942","597479.156579942","20","true","true","599.876579942","310","false","false","605.845372742","303","false","false","290","283"
"TARGET_ORACLE","4310|850x1,1100x2,1260x1","{850=1, 1100=2, 1260=1} @4310mm (pw=4310, util=100.0%)","true","","1","1","0.000000000","0.476201516","19","0.015991367","666.217507367","666.217507367","197","false","false","666.217507367","143","false","false","666.217507367","145","false","false","-54","-52"
"TARGET_ORACLE","4380|790x1,1100x1,1240x1,1250x1","{790=1, 1100=1, 1240=1, 1250=1} @4380mm (pw=4380, util=100.0%)","true","","1","1","0.000000000","0.467360025","19","0.105638367","657.465663367","657.465663367","222","false","false","657.465663367","170","false","false","657.465663367","173","false","false","-52","-49"
"TARGET_ORACLE","4320|970x1,1000x1,1100x1,1250x1","{970=1, 1000=1, 1100=1, 1250=1} @4320mm (pw=4320, util=100.0%)","true","","1","1","0.000000000","0.411070435","24","0.019035385","651.089470385","651.089470385","250","false","false","651.089470385","200","false","false","651.089470385","202","false","false","-50","-48"
"TARGET_ORACLE","4400|1000x1,1100x2,1200x1","{1000=1, 1100=2, 1200=1} @4400mm (pw=4400, util=100.0%)","true","","1","1","0.000000000","0.385918989","21","0.033937123","595.952926123","595.952926123","350","false","false","595.952926123","313","false","false","595.952926123","313","false","false","-37","-37"
"TARGET_ORACLE","4400|1050x1,1100x2,1150x1","{1050=1, 1100=2, 1150=1} @4400mm (pw=4400, util=100.0%)","true","","1","1","0.000000000","0.365864032","15","0.033937123","515.897969123","515.897969123","608","false","false","515.897969123","574","false","false","515.897969123","576","false","false","-34","-32"
"TARGET_ORACLE","4370|850x1,1125x1,1150x1,1240x1","{850=1, 1125=1, 1150=1, 1240=1} @4370mm (pw=4365, util=99.9%)","true","","1","1","0.000000000","0.224607047","12","0.132736156","344.739783156","344.739783156","963","false","false","344.739783156","938","false","false","344.739783156","938","false","false","-25","-25"
"TARGET_ORACLE","4400|850x1,1060x1,1240x1,1250x1","{850=1, 1060=1, 1240=1, 1250=1} @4400mm (pw=4400, util=100.0%)","true","","1","1","0.000000000","0.233784900","11","0.033937123","343.818837123","343.818837123","966","false","false","343.818837123","941","false","false","343.818837123","942","false","false","-25","-24"
"TARGET_ORACLE","4390|850x1,1150x2,1240x1","{850=1, 1150=2, 1240=1} @4390mm (pw=4390, util=100.0%)","true","","1","1","0.000000000","0.213597873","11","0.051370942","323.649243942","323.649243942","1115","false","false","323.649243942","1094","false","false","323.649243942","1095","false","false","-21","-20"
"TARGET_ORACLE","4330|550x1,840x1,980x3","{550=1, 840=1, 980=3} @4330mm (pw=4330, util=100.0%)","true","","2","2","0.000000000","0.121484593","12","0.023510746","241.508103746","241.508103746","1727","false","false","241.508103746","1710","false","false","241.508103746","1713","false","false","-17","-14"
"TARGET_ORACLE","4390|980x2,1130x1,1300x1","{980=2, 1130=1, 1300=1} @4390mm (pw=4390, util=100.0%)","true","","1","1","0.000000000","0.121378786","10","0.051370942","221.430156942","221.430156942","2149","false","false","221.430156942","2133","false","false","221.430156942","2135","false","false","-16","-14"
